image_path,frame,speed
../data/train/imgs/0.jpg,0,28.105569
../data/train/imgs/1.jpg,1,28.105569
../data/train/imgs/2.jpg,2,28.106527
../data/train/imgs/3.jpg,3,28.130404
../data/train/imgs/4.jpg,4,28.109243
../data/train/imgs/5.jpg,5,28.088572
../data/train/imgs/6.jpg,6,28.034211
../data/train/imgs/7.jpg,7,28.018491
../data/train/imgs/8.jpg,8,27.986624
../data/train/imgs/9.jpg,9,28.016352
../data/train/imgs/10.jpg,10,27.981986
../data/train/imgs/11.jpg,11,27.978625
../data/train/imgs/12.jpg,12,28.032331
../data/train/imgs/13.jpg,13,27.960219
../data/train/imgs/14.jpg,14,27.937178
../data/train/imgs/15.jpg,15,27.940599
../data/train/imgs/16.jpg,16,27.908579
../data/train/imgs/17.jpg,17,27.898606
../data/train/imgs/18.jpg,18,27.855982
../data/train/imgs/19.jpg,19,27.795581
../data/train/imgs/20.jpg,20,27.850634
../data/train/imgs/21.jpg,21,27.839349
../data/train/imgs/22.jpg,22,27.824348
../data/train/imgs/23.jpg,23,27.759608
../data/train/imgs/24.jpg,24,27.830055
../data/train/imgs/25.jpg,25,27.761886
../data/train/imgs/26.jpg,26,27.694763
../data/train/imgs/27.jpg,27,27.761203
../data/train/imgs/28.jpg,28,27.691932
../data/train/imgs/29.jpg,29,27.666086
../data/train/imgs/30.jpg,30,27.723912
../data/train/imgs/31.jpg,31,27.639469
../data/train/imgs/32.jpg,32,27.612874
../data/train/imgs/33.jpg,33,27.638534
../data/train/imgs/34.jpg,34,27.606098
../data/train/imgs/35.jpg,35,27.593209
../data/train/imgs/36.jpg,36,27.573926
../data/train/imgs/37.jpg,37,27.561151
../data/train/imgs/38.jpg,38,27.559232
../data/train/imgs/39.jpg,39,27.528067
../data/train/imgs/40.jpg,40,27.522542
../data/train/imgs/41.jpg,41,27.531058
../data/train/imgs/42.jpg,42,27.493015
../data/train/imgs/43.jpg,43,27.487706
../data/train/imgs/44.jpg,44,27.440943
../data/train/imgs/45.jpg,45,27.439646
../data/train/imgs/46.jpg,46,27.412907
../data/train/imgs/47.jpg,47,27.401744
../data/train/imgs/48.jpg,48,27.396007
../data/train/imgs/49.jpg,49,27.35751
../data/train/imgs/50.jpg,50,27.365647
../data/train/imgs/51.jpg,51,27.347638
../data/train/imgs/52.jpg,52,27.302128
../data/train/imgs/53.jpg,53,27.309836
../data/train/imgs/54.jpg,54,27.266277
../data/train/imgs/55.jpg,55,27.266066
../data/train/imgs/56.jpg,56,27.238097
../data/train/imgs/57.jpg,57,27.239031
../data/train/imgs/58.jpg,58,27.227439
../data/train/imgs/59.jpg,59,27.209839
../data/train/imgs/60.jpg,60,27.224821
../data/train/imgs/61.jpg,61,27.181666
../data/train/imgs/62.jpg,62,27.170096
